ID,Tweet,Affect Dimension,Intensity Score,word
2017-En-10264,@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562,@xandraaa5
2017-En-10264,@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562,@amayaallyn6
2017-En-10264,@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562,shut
2017-En-10264,@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562,hashtags
2017-En-10264,@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562,cool
2017-En-10264,@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562,#offended
2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,makes
2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,fucking
2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,irate
2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,jesus
2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,calling
2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,ppl
2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,hajime
2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,abusive
2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,stop
2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,strawmen
2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,lmao
2017-En-11383,Lol Adam the Bull with his fake outrage...,anger,0.417,lol
2017-En-11383,Lol Adam the Bull with his fake outrage...,anger,0.417,adam
