ID,Tweet,Affect Dimension,Intensity Score,word
2017-En-30793,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0.14,@davidgarrett
2017-En-30793,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0.14,saddenedno
2017-En-30793,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0.14,dates
2017-En-30793,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0.14,joyous
2017-En-30793,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0.14,anticipation
2017-En-30793,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0.14,attending
2017-En-30793,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0.14,dg
2017-En-30793,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0.14,concert
2017-En-30793,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0.14,2014
2017-En-30793,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0.14,happy
2017-En-30793,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0.14,keeping
2017-En-30793,"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.",joy,0.14,busy
2017-En-30070,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited!,joy,0.792,2
2017-En-30070,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited!,joy,0.792,days
2017-En-30070,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited!,joy,0.792,#gopackgo
2017-En-30070,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited!,joy,0.792,23
2017-En-30070,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited!,joy,0.792,days
2017-En-30070,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited!,joy,0.792,#gogipego
2017-En-30070,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited!,joy,0.792,im
2017-En-30070,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited!,joy,0.792,excited
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,positive
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,#psychology
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,research
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,salespeople
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,score
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,top
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,10
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,#optimism
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,88
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,gt
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,sales
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,top
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,10
2017-En-30692,Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.,joy,0.274,pessimism
2017-En-31323,As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.,joy,0.48,birds
2017-En-31323,As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.,joy,0.48,chirp
2017-En-31323,As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.,joy,0.48,cows
2017-En-31323,As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.,joy,0.48,moo
2017-En-31323,As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.,joy,0.48,listen
2017-En-31323,As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.,joy,0.48,sound
2017-En-31323,As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.,joy,0.48,nature
2017-En-31323,As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.,joy,0.48,ensure
2017-En-31553,Howling with laughter at “WELL DONE BEZZA!” #bakeoff #GBBO,joy,0.94,howling
2017-En-31553,Howling with laughter at “WELL DONE BEZZA!” #bakeoff #GBBO,joy,0.94,laughter
2017-En-31553,Howling with laughter at “WELL DONE BEZZA!” #bakeoff #GBBO,joy,0.94,bezza
2017-En-31553,Howling with laughter at “WELL DONE BEZZA!” #bakeoff #GBBO,joy,0.94,#bakeoff
2017-En-31553,Howling with laughter at “WELL DONE BEZZA!” #bakeoff #GBBO,joy,0.94,#gbbo
2017-En-31296,@StephaliciousD afternoon delight,joy,0.539,@stephaliciousd
2017-En-31296,@StephaliciousD afternoon delight,joy,0.539,afternoon
2017-En-31296,@StephaliciousD afternoon delight,joy,0.539,delight
2017-En-30419,@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy,0.48,@uklittlekitchen
2017-En-30419,@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy,0.48,defo
2017-En-30419,@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy,0.48,hearty
2017-En-30419,@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy,0.48,root
2017-En-30419,@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy,0.48,veg
2017-En-30419,@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy,0.48,gratin
2017-En-30419,@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy,0.48,nice
2017-En-30419,@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy,0.48,comfort
2017-En-30419,@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy,0.48,food
2017-En-30419,@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy,0.48,autumn
2017-En-30419,@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy,0.48,kicks
2017-En-31315,"As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.",joy,0.422,remember
2017-En-31315,"As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.",joy,0.422,reflect
2017-En-31315,"As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.",joy,0.422,reginald
2017-En-31315,"As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.",joy,0.422,denny
