ID,Tweet,Affect Dimension,Intensity Score,word
2017-En-40023,This the most depressing shit ever,sadness,0.861,depressing
2017-En-40023,This the most depressing shit ever,sadness,0.861,shit
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,final
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,vestiges
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,90s
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,childhood
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,dashed
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,shoals
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,hearing
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,house
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,cover
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,tracy
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,chapmans
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,fast
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,car
2017-En-40983,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0.417,dayjob
2017-En-20751,"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",sadness,0.5,@manunitedwriter
2017-En-20751,"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",sadness,0.5,dreadful
2017-En-20751,"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",sadness,0.5,half
2017-En-20751,"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",sadness,0.5,mention
2017-En-20751,"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",sadness,0.5,rashford
2017-En-20751,"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",sadness,0.5,wouldve
2017-En-20751,"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",sadness,0.5,couple
2017-En-20751,"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",sadness,0.5,balls
2017-En-20751,"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",sadness,0.5,#pace
2017-En-41232,feel really sad and down today😒,sadness,0.833,feel
2017-En-41232,feel really sad and down today😒,sadness,0.833,sad
2017-En-41232,feel really sad and down today😒,sadness,0.833,today😒
2017-En-40797,Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,0.667,wow
2017-En-40797,Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,0.667,watched
2017-En-40797,Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,0.667,depressing
2017-En-40797,Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,0.667,movies
2017-En-40797,Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,0.667,life
2017-En-40224,"Way too cool to die young, way too young to die sober.. #tunechi",sadness,0.604,cool
2017-En-40224,"Way too cool to die young, way too young to die sober.. #tunechi",sadness,0.604,die
2017-En-40224,"Way too cool to die young, way too young to die sober.. #tunechi",sadness,0.604,die
2017-En-40224,"Way too cool to die young, way too young to die sober.. #tunechi",sadness,0.604,sober
2017-En-40224,"Way too cool to die young, way too young to die sober.. #tunechi",sadness,0.604,#tunechi
